"TRACE_FILE" "l2_s" "l2_a" "AMAT_hacia_l2" 
"429.mcf-184B.trace.txt.gz" 128 16 42540008.7375 
"433.milc-127B.trace.txt.gz" 128 16 12551068.576 
"435.gromacs-111B.trace.txt.gz" 128 16 5677825.7625 
"436.cactusADM-1804B.trace.txt.gz" 128 16 5713731.301 
"437.leslie3d-134B.trace.txt.gz" 128 16 5565905.6205 
"444.namd-120B.trace.txt.gz" 128 16 5728817.3635 
"445.gobmk-17B.trace.txt.gz" 128 16 8512012.6365 
"450.soplex-247B.trace.txt.gz" 128 16 29349683.934 
"453.povray-887B.trace.txt.gz" 128 16 13879929.75 
"454.calculix-104B.trace.txt.gz" 128 16 4166250.658 
"456.hmmer-191B.trace.txt.gz" 128 16 5618871.785 
"458.sjeng-1088B.trace.txt.gz" 128 16 6737037.414 
"459.GemsFDTD-1169B.trace.txt.gz" 128 16 10994004.149 
"462.libquantum-1343B.trace.txt.gz" 128 16 10866359.6725 
"464.h264ref-30B.trace.txt.gz" 128 16 4221657.248 
"465.tonto-1769B.trace.txt.gz" 128 16 14830670.714 
"470.lbm-1274B.trace.txt.gz" 128 16 17857484.3695 
"471.omnetpp-188B.trace.txt.gz" 128 16 14893954.3825 
"473.astar-153B.trace.txt.gz" 128 16 5757166.3775 
"481.wrf-1170B.trace.txt.gz" 128 16 5512488.534 
"482.sphinx3-1100B.trace.txt.gz" 128 16 8677989.853 
"483.xalancbmk-127B.trace.txt.gz" 128 16 12005182.976 
"Media geométrica"   9190943.74673894 
